symbol,signal_time,entry_time,expiration_minutes,action,pattern,score,entry_price,exit_time,exit_price,result
EURUSD,2026-09-15T15:28:00+00:00,2026-09-15T15:29:00+00:00,10,CALL,BULLISH_REJECTION,40,1.15451,2026-09-15T15:39:00+00:00,1.15404,LOSS
EURUSD,2026-09-15T15:28:00+00:00,2026-09-15T15:29:00+00:00,15,CALL,BULLISH_REJECTION,40,1.15451,2026-09-15T15:44:00+00:00,1.15406,LOSS
EURUSD,2026-09-15T15:29:00+00:00,2026-09-15T15:30:00+00:00,1,CALL,BEARISH_ENGULFING,25,1.15441,2026-09-15T15:31:00+00:00,1.15441,DRAW
EURUSD,2026-09-15T15:29:00+00:00,2026-09-15T15:30:00+00:00,2,CALL,BEARISH_ENGULFING,25,1.15441,2026-09-15T15:32:00+00:00,1.15444,WIN
EURUSD,2026-09-15T15:29:00+00:00,2026-09-15T15:30:00+00:00,3,CALL,BEARISH_ENGULFING,25,1.15441,2026-09-15T15:33:00+00:00,1.15426,LOSS
EURUSD,2026-09-15T15:29:00+00:00,2026-09-15T15:30:00+00:00,5,CALL,BEARISH_ENGULFING,25,1.15441,2026-09-15T15:35:00+00:00,1.15426,LOSS
EURUSD,2026-09-15T15:29:00+00:00,2026-09-15T15:30:00+00:00,10,CALL,BEARISH_ENGULFING,25,1.15441,2026-09-15T15:40:00+00:00,1.15416,LOSS
EURUSD,2026-09-15T15:29:00+00:00,2026-09-15T15:30:00+00:00,15,CALL,BEARISH_ENGULFING,25,1.15441,2026-09-15T15:45:00+00:00,1.15397,LOSS
EURUSD,2026-09-15T15:33:00+00:00,2026-09-15T15:34:00+00:00,1,PUT,BEARISH_BREAKOUT,39,1.15433,2026-09-15T15:35:00+00:00,1.15426,WIN
EURUSD,2026-09-15T15:33:00+00:00,2026-09-15T15:34:00+00:00,2,PUT,BEARISH_BREAKOUT,39,1.15433,2026-09-15T15:36:00+00:00,1.15429,WIN
EURUSD,2026-09-15T15:33:00+00:00,2026-09-15T15:34:00+00:00,3,PUT,BEARISH_BREAKOUT,39,1.15433,2026-09-15T15:37:00+00:00,1.15419,WIN
EURUSD,2026-09-15T15:33:00+00:00,2026-09-15T15:34:00+00:00,5,PUT,BEARISH_BREAKOUT,39,1.15433,2026-09-15T15:39:00+00:00,1.15404,WIN
EURUSD,2026-09-15T15:33:00+00:00,2026-09-15T15:34:00+00:00,10,PUT,BEARISH_BREAKOUT,39,1.15433,2026-09-15T15:44:00+00:00,1.15406,WIN
EURUSD,2026-09-15T15:33:00+00:00,2026-09-15T15:34:00+00:00,15,PUT,BEARISH_BREAKOUT,39,1.15433,2026-09-15T15:49:00+00:00,1.15391,WIN
EURUSD,2026-09-15T15:35:00+00:00,2026-09-15T15:36:00+00:00,1,PUT,BEARISH_ENGULFING,45,1.15429,2026-09-15T15:37:00+00:00,1.15419,WIN
EURUSD,2026-09-15T15:35:00+00:00,2026-09-15T15:36:00+00:00,2,PUT,BEARISH_ENGULFING,45,1.15429,2026-09-15T15:38:00+00:00,1.15411,WIN
EURUSD,2026-09-15T15:35:00+00:00,2026-09-15T15:36:00+00:00,3,PUT,BEARISH_ENGULFING,45,1.15429,2026-09-15T15:39:00+00:00,1.15404,WIN
